,Name,Author,Ratings (out of 5),Reviews,Edition,Price,Books_url
21,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",Darius Foroux,4.4,"21,020",Paperback,₹149.00,https://www.amazon.in//Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=zg_bs_books_sccl_21/000-0000000-0000000?psc=1
22,LIFES AMAZING SECRETS,Gaur Gopal Das,4.6,"1,290",Paperback,₹140.00,https://www.amazon.in//Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=zg_bs_books_sccl_22/000-0000000-0000000?psc=1
23,R D Sharma Mathematics Class 9 with MCQ in Mathematics - CBSE Examination 2023-2024,R.D. Sharma,4.5,"2,234",Paperback,₹573.00,https://www.amazon.in//Mathematics-Class-Sharma-Examination-2022-23/dp/B09SJ5TZZ4/ref=zg_bs_books_sccl_23/000-0000000-0000000?psc=1
24,Secondary School Mathematics for Class 9 - CBSE - by R.S. Aggarwal Examination 2023-2024,"Veena Aggarwal, R S; Aggarwal",4.5,"12,712",Paperback,₹375.00,https://www.amazon.in//Secondary-School-Mathematics-Class-Examination/dp/9350271850/ref=zg_bs_books_sccl_24/000-0000000-0000000?psc=1
25,Concept of Physics by H.C Verma Part - I - Session 2022-23,H.C. Verma,4.6,"1,231",Paperback,₹368.00,https://www.amazon.in//Concept-Physics-Part-1-2018-2019-Session/dp/8177091875/ref=zg_bs_books_sccl_25/000-0000000-0000000?psc=1
26,Don't Believe Everything You Think,Joseph Nguyen,4.6,"2,340",Paperback,₹200.00,https://www.amazon.in//Dont-Believe-Everything-You-Think/dp/935543135X/ref=zg_bs_books_sccl_26/000-0000000-0000000?psc=1
27,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",Maple Press,4.3,"135,013",Paperback,₹210.00,https://www.amazon.in//Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_books_sccl_27/000-0000000-0000000?psc=1
28,The Alchemist,Paulo Coelho,4.6,"110,938",Paperback,₹208.89,https://www.amazon.in//Alchemist-Paulo-Coelho/dp/8172234988/ref=zg_bs_books_sccl_28/000-0000000-0000000?psc=1
29,How to Win Friends and Influence People,Dale Carnegie,4.5,191,Paperback,₹27.00,https://www.amazon.in//How-Win-Friends-Influence-People/dp/8194790891/ref=zg_bs_books_sccl_29/000-0000000-0000000?psc=1
30,"First Aid for the USMLE Step 1 2023, Thirty Third Edition",Matthew Sochat,4.3,"1,814",Paperback,₹999.00,https://www.amazon.in//First-USMLE-Step-Thirty-Third/dp/1264946627/ref=zg_bs_books_sccl_30/000-0000000-0000000?psc=1
31,Doglapan: The Hard Truth about Life and Start-Ups,Ashneer Grover,4.3,"23,868",Hardcover,₹324.00,https://www.amazon.in//Doglapan-Hard-Truth-about-Start-Ups/dp/067009711X/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1
32,My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4,"1,156",Paperback,₹101.00,https://www.amazon.in//First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1
33,The Hidden Hindu,Akshat Gupta,4.4,"1,124",Paperback,₹131.00,https://www.amazon.in//Hidden-Hindu-Akshat-Gupta/dp/0143455699/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1
34,"Moral Story Books for Kids (Set of 10 Books) (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers",Maple Press,4.5,11,Paperback,₹245.00,https://www.amazon.in//Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1
35,SSC Maths 6800 TCS MCQ chapter wise 4th edition english medium I detailed explanation and short tricks,Pinnacle Publications,4.9,"203,772",Paperback,₹499.00,https://www.amazon.in//chapter-english-medium-detailed-explanation/dp/B0BW4MVR3P/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1
36,THE SILENT PATIENT,Alex Michaelides,4.5,"8,485",Paperback,₹210.00,https://www.amazon.in//Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1
37,"Magic of the Lost Temple, The",Sudha Murty,4.6,"10,748",Paperback,₹170.00,https://www.amazon.in//Magic-Lost-Temple-Sudha-Murty/dp/014333316X/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1
38,As a Man Thinketh,James Allen,4.4,33,Paperback,₹69.00,https://www.amazon.in//As-Man-Thinketh-James-Allen/dp/9386538172/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1
39,Math Concept King All Formulas and Theorum Latest 2023 Edition | Gagan Pratap Sir | Champion Publication,Gagan Pratap Sir,3.9,"4,180",Perfect Paperback,₹120.00,https://www.amazon.in//Concept-Formulas-Theorum-Champion-Publication/dp/B0BVHGWTMN/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1
40,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.5,"3,974",Hardcover,₹179.00,https://www.amazon.in//Animals-Tales-Panchtantra-Timeless-Children/dp/9389178118/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1
41,R D Sharma Mathematics Class 8 - CBSE Examination 2023-2024,R.D. Sharma,4.5,"4,063",Paperback,₹544.00,https://www.amazon.in//Mathematics-Class-Sharma-2018-19-Session/dp/818992804X/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1
42,Indian Polity ( English| 6th Revised Edition) | UPSC | Civil Services Exam | State Administrative Exams,M Laxmikanth,4.5,"3,039",Paperback,₹665.00,https://www.amazon.in//Indian-English-Revised-Services-Administrative/dp/9354600352/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1
43,"108 Panchatantra Stories for Children (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,4.4,"1,171",Paperback,₹128.00,https://www.amazon.in//108-Panchatantra-Stories-Illustrated-children/dp/9390292921/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1
44,Word Power Made Easy By Norman Lewis (More than 700 Pages),Norman Lewis,4.4,"1,597",Paperback,₹83.00,https://www.amazon.in//Word-Power-Norman-Lewis-Pages/dp/B09LV1KHKV/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1
45,Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination,"Veena Aggarwal, R S; Aggarwal",4.4,"236,780",Paperback,₹590.00,https://www.amazon.in//Secondary-School-Mathematics-Examination-2020-2021/dp/9388704517/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1
46,Kunex It Ends With Us : ''Sometimes The One Who Loves You Is The One Who Hurts You The Most'',Colleen Hoover,4.5,10,Paperback,₹159.00,https://www.amazon.in//Ends-Us-Novel-Colleen-Hoover/dp/1501110365/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1
47,It Starts with us and Free It ends with us,Delhi wale,4.3,280,Paperback,₹225.00,https://www.amazon.in//Starts-Free-ends-Delhi-wale/dp/B0BX5L71ZP/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1
48,"MTG 35 Years NEET Previous Year Solved Question Papers with NEET Chapterwise Topicwise Solutions - NEET 2023 Preparation Books, Set of 3 Books NTA Neet 35 Years Questions, Physics Chemistry Biology",MTG Editorial Board,4.4,"2,099",Paperback,₹816.00,https://www.amazon.in//Previous-Question-Chapterwise-Topicwise-Solutions/dp/B0B6J6G6RT/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1
49,Trading Chart Breakout Pattern & Candlestick Pattern Pocket Study For Beginners,Unknown Binding,4.1,12,Unknown Binding,₹219.00,https://www.amazon.in//Trading-Breakout-Pattern-Candlestick-Beginners/dp/B09Z85R4SW/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1
50,"MTG Objective NCERT at your FINGERTIPS Biology - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,4.0,10,Paperback,₹567.00,https://www.amazon.in//Objective-NCERT-your-FINGERTIPS-Biology/dp/9355555946/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1
51,SSC General Studies 6500 TCS MCQ chapter wise english medium 4th edition,Pinnacle Publications,4.3,"22,488",Paperback,₹499.00,https://www.amazon.in//General-Studies-chapter-english-medium/dp/B0BXM2NK38/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1
52,World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5,"1,502",Paperback,₹299.00,https://www.amazon.in//Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1
53,Physics Galaxy 2020-21 : Advanced Illustration in Physics,Ashish Arora,4.6,4,Paperback,₹365.00,https://www.amazon.in//Physics-Galaxy-2020-21-Advanced-Illustration/dp/8193975634/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1
54,The Hidden Hindu Book 3,Akshat Gupta,5.0,"9,790",Paperback,₹220.00,https://www.amazon.in//Hidden-Hindu-Book-3/dp/0143456555/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1
55,"BRAIN GAMES FOR CLEVER KIDS [Paperback] Moore, Gareth",Gareth Moore,4.3,"1,051",Paperback,₹166.00,https://www.amazon.in//Brain-Games-Clever-Kids-Buster/dp/1780552491/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1
56,Quantitative Aptitude for Competitive Examinations - 2022/edition-S Chand Publishing-Paperback_Edition-2022,R. S Aggarwal,4.3,"77,846",Paperback,₹440.00,https://www.amazon.in//Quantitative-Aptitude-Competitive-Examinations-Revised/dp/9355012322/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1
57,"Man's Search For Meaning: The classic tribute to hope from the Holocaust Frankl, Viktor E",Viktor E Frankl,4.5,"4,248",Paperback,₹197.00,https://www.amazon.in//Mans-Search-Meaning-Viktor-Frankl/dp/1846041244/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1
58,Think and Grow Rich: THE 21st CENTURY EDITION,Napoleon Hill,4.5,"18,685",Paperback,₹99.00,https://www.amazon.in//Think-Grow-Rich-21st-CENTURY/dp/9389931525/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1
59,"Oxford Student Atlas for India, Fourth Edition - Useful for Competitive Exams",Oxford University Press,4.6,"18,040",Paperback,₹215.00,https://www.amazon.in//Oxford-Student-Atlas-India-Fourth/dp/9391050840/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1
60,The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5,"46,124",Paperback,₹160.00,https://www.amazon.in//Complete-Novels-Sherlock-Holmes/dp/8175994312/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1
61,Word Power Made Easy [Paperback] Norman Lewis,Norman Lewis,4.4,"10,092",Paperback,₹98.00,https://www.amazon.in//Word-Power-Made-Norman-Lewis/dp/0143424688/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1
62,THE COURAGE TO BE DISLIKED,ICHIRO KISHIMI,4.6,"15,452",Hardcover,₹300.00,https://www.amazon.in//Courage-Disliked-Ichiro-Kishimi-Fumitake/dp/1760630721/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1
63,Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,Brijbhoomi Books And Handicrafts,4.8,"1,051",Hardcover,₹187.00,https://www.amazon.in//Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1
64,CBSE All In One Social Science Class 10 2022-23 Edition (As per latest CBSE Syllabus issued on 21 April 2022),Farah Sultan Madhumita Pattrea,4.4,157,Paperback,₹405.00,https://www.amazon.in//Social-Science-2022-23-latest-Syllabus/dp/9326196879/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1
65,5000 + Daily Use English Sentences | Kanchan Keshari,Kanchan Keshari,4.2,95,Paperback,₹273.00,https://www.amazon.in//Daily-English-Sentences-Kanchan-Keshari/dp/9394200509/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1
66,"Phonic Reader (Illustrated) (Set of 6 Books) - Story Book for Kids - Bedtime Stories - 2 Years to 6 Years Old - Read Aloud to Infants, Toddlers",Maple Press,4.2,"4,375",Paperback,₹168.00,https://www.amazon.in//Phonic-Reader-Illustrated-Set-Books/dp/9394668772/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1
67,Grandparents' Bag of Stories [Paperback] Sudha Murty,Sudha Murty,4.7,"5,798",Paperback,₹147.00,https://www.amazon.in//Grandparents-Bag-Stories-Sudha-Murty/dp/0143451847/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1
68,Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4,"113,036",Paperback,₹499.00,https://www.amazon.in//Best-Childrens-Classics-Set-Books/dp/9389432006/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1
69,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7,"11,379",Paperback,₹309.00,https://www.amazon.in//Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1
70,High School English Gram & Comp (Reg Ed),"Rao N,D,V,Prasada",4.4,"72,604",Paperback,₹295.00,https://www.amazon.in//School-English-Grammar-Composition-Regular/dp/9352530144/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1
71,The Power of Your Subconscious Mind,Joseph Murphy,4.5,1,Paperback,₹105.00,https://www.amazon.in//Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_books_sccl_21/000-0000000-0000000?psc=1
72,"Accounting Principles, Industrial Relations & Labour Laws for UPSC EPFO (EO/ AO/ APFC) Exam",Aman Sharma,5.0,"7,288",Unknown Binding,₹188.00,https://www.amazon.in//Accounting-Principles-Industrial-Relations-Labour/dp/8196150156/ref=zg_bs_books_sccl_22/000-0000000-0000000?psc=1
73,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time [Paperback] Brian Tracy,Brian Tracy,4.6,"2,726",Paperback,₹157.00,https://www.amazon.in//Eat-That-Frog-Great-Procrastinating/dp/152309513X/ref=zg_bs_books_sccl_23/000-0000000-0000000?psc=1
74,Encyclopedia: Amazing Questions & Answers Science,Om Books Editorial Team,4.5,"1,281",Paperback,₹137.00,https://www.amazon.in//Amazing-Question-Answers-Science-Editorial/dp/9352763068/ref=zg_bs_books_sccl_24/000-0000000-0000000?psc=1
75,28 Years UPSC Civil Services IAS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2022) 13th Edition,Mrunal Patel,4.3,"11,273",Paperback,₹385.00,https://www.amazon.in//Services-Prelims-Topic-wise-Solved-Papers/dp/B09XMHRQ63/ref=zg_bs_books_sccl_25/000-0000000-0000000?psc=1
76,Very First Sight Words Sentences Level 1,Dreamland Publications,4.5,"10,985",Paperback,₹120.00,https://www.amazon.in//First-Sight-Words-Sentences-Level/dp/9387971996/ref=zg_bs_books_sccl_26/000-0000000-0000000?psc=1
77,"Think Straight: Change your thoughts, Change your life [Paperback] Foroux, Darius",Darius Foroux,4.2,"4,327",Paperback,₹109.00,https://www.amazon.in//Think-Straight-Change-your-thoughts/dp/0143452134/ref=zg_bs_books_sccl_27/000-0000000-0000000?psc=1
78,"The Power of Your Subconscious Mind (PREMIUM PAPERBACK, PENGUIN INDIA)",Joseph Murphy,4.5,273,Paperback,₹91.00,https://www.amazon.in//Power-Subconscious-Premium-Paperback-Penguin/dp/0143453602/ref=zg_bs_books_sccl_28/000-0000000-0000000?psc=1
79,1001 Ultimate Brain Booster Activities for 3 to 6 Years Old Kids,Team Pegasus,4.5,189,Paperback,₹262.00,https://www.amazon.in//Ultimate-Brain-Booster-Activities-Years/dp/8131958248/ref=zg_bs_books_sccl_29/000-0000000-0000000?psc=1
80,Brain Activity Book for Kids - 200+ Activities for Age 6+,Maple Press,4.5,34,Paperback,₹100.00,https://www.amazon.in//Brain-Activity-Book-Kids-Activities/dp/9391924875/ref=zg_bs_books_sccl_30/000-0000000-0000000?psc=1
81,Prep Guide to BITSAT 2023,Experts Compilation,4.3,17,Paperback,₹586.00,https://www.amazon.in//Prep-Guide-BITSAT-Experts-Compilation/dp/9327191528/ref=zg_bs_books_sccl_1/000-0000000-0000000?psc=1
82,"NTA UGC NET /SET/JRF Paper 1, Teaching and Research Aptitude – 2023, Includes latest 2022 paper and 2600+ Practice Questions with Solutions | Includes NEP - 2020| 7th Edition - By Pearson",KVS Madaan,4.1,"2,162",Paperback,₹272.00,https://www.amazon.in//NTA-Paper-Teaching-Research-Aptitude/dp/935606590X/ref=zg_bs_books_sccl_2/000-0000000-0000000?psc=1
83,The India Way : Strategies for an Uncertain World,S. Jaishankar,4.6,"8,808",Paperback,₹320.00,https://www.amazon.in//India-Way-Strategies-Uncertain-World/dp/9394407219/ref=zg_bs_books_sccl_3/000-0000000-0000000?psc=1
84,Think And Grow Rich - Hindi,Napoleon Hill,4.4,"131,321",Paperback,₹99.00,https://www.amazon.in//Think-Grow-Rich-Hindi-Napoleon/dp/8175993561/ref=zg_bs_books_sccl_4/000-0000000-0000000?psc=1
85,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5,10,Paperback,₹332.89,https://www.amazon.in//Subtle-Art-Not-Giving/dp/0062641549/ref=zg_bs_books_sccl_5/000-0000000-0000000?psc=1
86,Hanuman Chalisa,Shubha Vilas,4.9,"1,235",Paperback,₹175.00,https://www.amazon.in//Hanuman-Chalisa-Shubha-Vilas/dp/9354405584/ref=zg_bs_books_sccl_6/000-0000000-0000000?psc=1
87,ROOT WORD BOOK Word Power,Manisha Bansal,4.3,"3,271",Unknown Binding,₹169.00,https://www.amazon.in//Word-Power-Manisha-Bansal/dp/B07C4ZQ7FT/ref=zg_bs_books_sccl_7/000-0000000-0000000?psc=1
88,The Power of A Positive Attitude: Your Road To Success,Roger Fritz,4.4,"7,357",Paperback,₹99.00,https://www.amazon.in//Power-Positive-Attitude-Your-Success/dp/9389432642/ref=zg_bs_books_sccl_8/000-0000000-0000000?psc=1
89,vashista 360 spoken english book,Vashista 360,4.2,"25,476",Paperback,₹289.00,https://www.amazon.in//Spoken-English-Course-Telugu-Vashista/dp/B08W1SNNLP/ref=zg_bs_books_sccl_9/000-0000000-0000000?psc=1
90,DEEP WORK: RULES FOR FOCUSED SUCCESS IN A DISTRACTED WORLD,Cal Newport,4.5,51,Paperback,₹210.00,https://www.amazon.in//Deep-Work-Focused-Success-Distracted/dp/0349413681/ref=zg_bs_books_sccl_10/000-0000000-0000000?psc=1
91,"Educart Abhyaas 1-10 Final NEET Mock Test Papers Book (for 7th May 2023 Exam, by India's Top NEET Educators)",Seep Pahuja,4.6,"31,331",Paperback,₹350.00,https://www.amazon.in//Educart-Abhyaas-Papers-Indias-Educators/dp/9357032002/ref=zg_bs_books_sccl_11/000-0000000-0000000?psc=1
92,The Monk Who Sold His Ferrari,Robin Sharma,4.5,"2,717",Paperback,₹131.00,https://www.amazon.in//Monk-Who-Sold-His-Ferrari/dp/817992162X/ref=zg_bs_books_sccl_12/000-0000000-0000000?psc=1
93,R D Sharma Mathematics Class 7 - CBSE Examination 2023-2024,R.D. Sharma,4.6,"98,389",Paperback,₹375.00,https://www.amazon.in//Mathematics-Class-Sharma-2018-19-Session/dp/9383182504/ref=zg_bs_books_sccl_13/000-0000000-0000000?psc=1
94,It Starts With Us,Colleen Hoover,4.4,105,Paperback,₹290.00,https://www.amazon.in//Starts-Us-Colleen-Hoover/dp/1398518174/ref=zg_bs_books_sccl_14/000-0000000-0000000?psc=1
95,Physics Galaxy 2023 : JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,4.3,9,Paperback,₹234.00,https://www.amazon.in//Physics-Galaxy-2023-Advanced-Analysis/dp/9356810826/ref=zg_bs_books_sccl_15/000-0000000-0000000?psc=1
96,"MTG Objective NCERT at your FINGERTIPS Chemistry - NCERT Notes with HD Pages, Based on NCERT Exam Archive Questions, NEET-JEE Books (Latest & Revised Edition 2023-2024)",MTG Editorial Board,3.6,"10,426",Paperback,₹464.00,https://www.amazon.in//Objective-NCERT-your-FINGERTIPS-Chemistry/dp/9355555938/ref=zg_bs_books_sccl_16/000-0000000-0000000?psc=1
97,How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships,Leil Lowndes,4.4,"2,100",Paperback,₹204.00,https://www.amazon.in//How-Talk-Anyone-Success-Relationships/dp/0007272618/ref=zg_bs_books_sccl_17/000-0000000-0000000?psc=1
98,Mathematics for Class 8 - CBSE - by R.S. Aggarwal Examination,R S Aggarwal,4.5,9,Paperback,₹300.00,https://www.amazon.in//Mathematics-Class-Aggarwal-2018-19-Session/dp/9350271753/ref=zg_bs_books_sccl_18/000-0000000-0000000?psc=1
99,SSC Reasoning 7200 TCS MCQ chapter wise 4th edition english medium,Pinnacle Publications,3.9,"2,136",Paperback,₹499.00,https://www.amazon.in//Reasoning-7200-chapter-english-medium/dp/B0BXM1HK3D/ref=zg_bs_books_sccl_19/000-0000000-0000000?psc=1
100,Mathematics for Class 7 - CBSE - by R.S. Aggarwal Examination,R S Aggarwal,4.5,"1,099",Paperback,₹295.00,https://www.amazon.in//Mathematics-class-Aggarwal-2018-19-Session/dp/817709985X/ref=zg_bs_books_sccl_20/000-0000000-0000000?psc=1
